20	1	31	124
20	1	8	67
20	1	11	92
20	1	22	103
20	1	30	81
20	1	24	55
20	1	1	76
20	1	15	71
20	1	23	121
20	1	26	104
20	1	6	39
20	1	21	124
20	1	3	45
20	1	36	77
20	1	18	102
20	1	33	107
20	1	29	93
20	1	37	113
20	1	37	113
20	1	37	113
30	1	31	104
30	1	8	53
30	1	11	72
30	1	22	92
30	1	30	71
30	1	24	33
30	1	1	49
30	1	15	61
30	1	23	78
30	1	26	93
30	1	6	6
30	1	21	108
30	1	3	22
30	1	36	67
30	1	18	81
30	1	33	92
30	1	29	86
30	1	37	77
30	1	37	77
30	1	37	77
40	1	31	69
40	1	8	33
40	1	11	46
40	1	22	62
40	1	30	37
40	1	24	23
40	1	1	21
40	1	15	14
40	1	23	48
40	1	26	37
40	1	6	16
40	1	21	31
40	1	3	8
40	1	36	15
40	1	18	42
40	1	33	37
40	1	29	60
40	1	37	38
40	1	37	38
40	1	37	38
50	1	31	36
50	1	8	11
50	1	11	34
50	1	22	46
50	1	30	2
50	1	24	4
50	1	1	8
50	1	15	4
50	1	23	20
50	1	26	18
50	1	6	5
50	1	21	4
50	1	3	1
50	1	36	4
50	1	18	16
50	1	33	7
50	1	29	24
50	1	37	8
50	1	37	8
50	1	37	8
20	2	31	6
20	2	8	2
20	2	11	4
20	2	22	4
20	2	30	6
20	2	24	1
20	2	1	2
20	2	15	5
20	2	23	8
20	2	26	4
20	2	6	0
20	2	21	0
20	2	3	2
20	2	36	16
20	2	18	0
20	2	33	14
20	2	29	8
20	2	37	4
20	2	37	4
20	2	37	4
30	2	31	2
30	2	8	2
30	2	11	4
30	2	22	0
30	2	30	4
30	2	24	0
30	2	1	0
30	2	15	4
30	2	23	4
30	2	26	2
30	2	6	0
30	2	21	0
30	2	3	2
30	2	36	4
30	2	18	0
30	2	33	12
30	2	29	10
30	2	37	4
30	2	37	4
30	2	37	4
40	2	31	0
40	2	8	0
40	2	11	0
40	2	22	0
40	2	30	0
40	2	24	0
40	2	1	0
40	2	15	0
40	2	23	2
40	2	26	0
40	2	6	0
40	2	21	0
40	2	3	2
40	2	36	0
40	2	18	4
40	2	33	2
40	2	29	6
40	2	37	2
40	2	37	2
40	2	37	2
50	2	31	0
50	2	8	0
50	2	11	0
50	2	22	0
50	2	30	0
50	2	24	0
50	2	1	0
50	2	15	0
50	2	23	0
50	2	26	0
50	2	6	0
50	2	21	0
50	2	3	0
50	2	36	0
50	2	18	2
50	2	33	0
50	2	29	0
50	2	37	2
50	2	37	2
50	2	37	2
20	3	31	2
20	3	8	2
20	3	11	0
20	3	22	0
20	3	30	0
20	3	24	0
20	3	1	0
20	3	15	1
20	3	23	0
20	3	26	0
20	3	6	0
20	3	21	0
20	3	3	0
20	3	36	2
20	3	18	4
20	3	33	2
20	3	29	6
20	3	37	2
20	3	37	2
20	3	37	2
30	3	31	0
30	3	8	2
30	3	11	0
30	3	22	0
30	3	30	0
30	3	24	0
30	3	1	0
30	3	15	0
30	3	23	0
30	3	26	0
30	3	6	0
30	3	21	0
30	3	3	0
30	3	36	0
30	3	18	0
30	3	33	0
30	3	29	4
30	3	37	2
30	3	37	2
30	3	37	2
40	3	31	0
40	3	8	0
40	3	11	0
40	3	22	0
40	3	30	0
40	3	24	0
40	3	1	0
40	3	15	0
40	3	23	0
40	3	26	0
40	3	6	0
40	3	21	0
40	3	3	0
40	3	36	0
40	3	18	0
40	3	33	0
40	3	29	2
40	3	37	2
40	3	37	2
40	3	37	2
50	3	31	0
50	3	8	0
50	3	11	0
50	3	22	0
50	3	30	0
50	3	24	0
50	3	1	0
50	3	15	0
50	3	23	0
50	3	26	0
50	3	6	0
50	3	21	0
50	3	3	0
50	3	36	0
50	3	18	0
50	3	33	0
50	3	29	0
50	3	37	2
50	3	37	2
50	3	37	2
20	4	31	0
20	4	8	2
20	4	11	0
20	4	22	0
20	4	30	0
20	4	24	0
20	4	1	0
20	4	15	0
20	4	23	0
20	4	26	0
20	4	6	0
20	4	21	0
20	4	3	0
20	4	36	0
20	4	18	2
20	4	33	0
20	4	29	0
20	4	37	2
20	4	37	2
20	4	37	2
30	4	31	0
30	4	8	2
30	4	11	0
30	4	22	0
30	4	30	0
30	4	24	0
30	4	1	0
30	4	15	0
30	4	23	0
30	4	26	0
30	4	6	0
30	4	21	0
30	4	3	0
30	4	36	0
30	4	18	0
30	4	33	0
30	4	29	0
30	4	37	2
30	4	37	2
30	4	37	2
40	4	31	0
40	4	8	2
40	4	11	0
40	4	22	0
40	4	30	0
40	4	24	0
40	4	1	0
40	4	15	0
40	4	23	0
40	4	26	0
40	4	6	0
40	4	21	0
40	4	3	0
40	4	36	0
40	4	18	0
40	4	33	0
40	4	29	0
40	4	37	2
40	4	37	2
40	4	37	2
50	4	31	0
50	4	8	0
50	4	11	0
50	4	22	0
50	4	30	0
50	4	24	0
50	4	1	0
50	4	15	0
50	4	23	0
50	4	26	0
50	4	6	0
50	4	21	0
50	4	3	0
50	4	36	0
50	4	18	0
50	4	33	0
50	4	29	0
50	4	37	2
50	4	37	2
50	4	37	2
20	5	31	0
20	5	8	2
20	5	11	0
20	5	22	0
20	5	30	1
20	5	24	0
20	5	1	0
20	5	15	0
20	5	23	0
20	5	26	0
20	5	6	0
20	5	21	0
20	5	3	0
20	5	36	0
20	5	18	0
20	5	33	0
20	5	29	0
20	5	37	2
20	5	37	2
20	5	37	2
30	5	31	0
30	5	8	2
30	5	11	0
30	5	22	0
30	5	30	0
30	5	24	0
30	5	1	0
30	5	15	0
30	5	23	0
30	5	26	0
30	5	6	0
30	5	21	0
30	5	3	0
30	5	36	0
30	5	18	0
30	5	33	0
30	5	29	0
30	5	37	2
30	5	37	2
30	5	37	2
40	5	31	0
40	5	8	0
40	5	11	0
40	5	22	0
40	5	30	0
40	5	24	0
40	5	1	0
40	5	15	0
40	5	23	0
40	5	26	0
40	5	6	0
40	5	21	0
40	5	3	0
40	5	36	0
40	5	18	0
40	5	33	0
40	5	29	0
40	5	37	2
40	5	37	2
40	5	37	2
50	5	31	0
50	5	8	0
50	5	11	0
50	5	22	0
50	5	30	0
50	5	24	0
50	5	1	0
50	5	15	0
50	5	23	0
50	5	26	0
50	5	6	0
50	5	21	0
50	5	3	0
