27000|27060|N/A
27060|27120|N/A
27120|27180|N/A
27180|27240|N/A
27240|27300|N/A
27300|27360|N/A
27360|27420|N/A
27420|27480|N/A
27480|27540|N/A
27540|27600|N/A
27600|27660|N/A
27660|27720|N/A
27720|27780|N/A
27780|27840|N/A
27840|27900|N/A
27900|27960|N/A
27960|28020|N/A
28020|28080|N/A
28080|28140|N/A
28140|28200|N/A
28200|28260|N/A
28260|28320|N/A
28320|28380|N/A
28380|28440|N/A
28440|28500|N/A
28500|28560|N/A
28560|28620|N/A
28620|28680|N/A
28680|28740|N/A
28740|28800|N/A
28800|28860|N/A
28860|28920|N/A
28920|28980|N/A
28980|29040|N/A
29040|29100|N/A
29100|29160|N/A
29160|29220|N/A
29220|29280|N/A
29280|29340|0.400000
29340|29400|0.366667
29400|29460|0.211538
29460|29520|0.800000
29520|29580|1.000000
29580|29640|0.966667
29640|29700|0.900000
29700|29760|1.000000
29760|29820|0.833333
29820|29880|0.900000
29880|29940|0.966667
29940|30000|0.866667
30000|30060|0.866667
30060|30120|0.966667
30120|30180|0.700000
30180|30240|0.600000
30240|30300|0.666667
30300|30360|0.733333
30360|30420|0.866667
30420|30480|0.533333
30480|30540|0.300000
30540|30600|0.633333
30600|30660|0.833333
30660|30720|0.766667
30720|30780|0.833333
30780|30840|0.774194
30840|30900|0.838710
30900|30960|0.677419
30960|31020|0.548387
31020|31080|0.709677
31080|31140|0.741935
31140|31200|0.548387
31200|31260|0.677419
31260|31320|0.354839
31320|31380|0.129032
31380|31440|0.161290
31440|31500|0.129032
31500|31560|0.096774
31560|31620|0.065217
31620|31680|0.039474
31680|31740|0.028302
31740|31800|0.022059
31800|31860|0.018072
31860|31920|0.015306
31920|31980|0.013274
31980|32040|0.011719
32040|32100|0.010490
32100|32160|0.009494
32160|32220|0.008671
32220|32280|0.007979
32280|32340|0.007389
32340|32400|0.006881
32400|32460|0.366667
32460|32520|0.733333
32520|32580|0.166667
32580|32640|0.084746
32640|32700|0.233333
32700|32760|0.148936
32760|32820|0.100000
32820|32880|0.085714
32880|32940|0.046154
32940|33000|0.096774
33000|33060|0.612903
33060|33120|0.967742
33120|33180|0.419355
33180|33240|0.354839
33240|33300|0.838710
33300|33360|0.064516
33360|33420|0.064516
33420|33480|0.047619
33480|33540|0.516129
33540|33600|0.774194
33600|33660|0.225806
33660|33720|0.122807
33720|33780|0.080460
33780|33840|0.059829
33840|33900|0.290323
33900|33960|0.354839
33960|34020|0.224490
34020|34080|0.451613
34080|34140|0.677419
34140|34200|0.350000
34200|34260|0.233333
34260|34320|0.064516
34320|34380|0.037037
34380|34440|0.023810
34440|34500|0.017544
34500|34560|0.161290
34560|34620|0.135135
34620|34680|0.074627
34680|34740|0.051546
34740|34800|0.039370
34800|34860|0.096774
34860|34920|0.870968
34920|34980|0.096774
34980|35040|0.064516
